Category_ID,Species,Total_visits
UN,Common hawthorn,22
UN,Common hawthorn,42
UN,Common hawthorn,3
UN,Common hawthorn,13
UN,Common hawthorn,76
UN,Common hawthorn,95
UN,Common hawthorn,53
RN,Common hawthorn,50
RN,Common hawthorn,18
UN,Common hawthorn,6
UN,Common hawthorn,16
RA,Common hawthorn,48
RA,Common hawthorn,63
RA,Common hawthorn,35
RA,Common hawthorn,40
RN,Common hawthorn,49
RA,Common hawthorn,25
RA,Common hawthorn,73
RN,Common hawthorn,107
UN,Common hawthorn,62
UN,Common hawthorn,60
RN,Common hawthorn,66
RN,Common hawthorn,29
RN,Common hawthorn,33
RN,Common hawthorn,79
UN,Common hawthorn,19
UN,Common hawthorn,16
UN,Common hawthorn,35
UN,Common hawthorn,43
RN,Common hawthorn,30
RN,Common hawthorn,27
UN,Common hawthorn,94
UN,Common hawthorn,54
RN,Blackberry,126
RN,Blackberry,145
RN,Blackberry,145
UN,Blackberry,93
UN,Blackberry,173
RA,Rose,17
RA,Rose,26
RA,Rose,44
RA,Rose,9
RA,Rose,18
UN,Blackberry,144
RN,Blackberry,129
RN,Blackberry,168
RN,Blackberry,334
RN,Blackberry,342
RN,Blackberry,306
RN,Blackberry,283
UN,Blackberry,308
RN,Blackberry,266
RN,Blackberry,244
RA,Rose,44
RA,Rose,36
RA,Rose,62
RA,Rose,85
UN,Blackberry,106
RN,Blackberry,123
RN,Blackberry,153
RN,Blackberry,198
UN,Blackberry,181
RA,Rose,58
UN,Blackberry,64
RN,Blackberry,150
RN,Blackberry,85
RN,Blackberry,114
RN,Blackberry,137
UN,Blackberry,84
RN,Blackberry,121
RN,Blackberry,148
RN,Blackberry,104
RN,Blackberry,117
UN,Blackberry,93
